0020 -> 8359 :   -> 荙
9795 -> 5568 : 鞕 -> 啨
9796 -> 75C6 : 鞖 -> 痆
9797 -> 8805 : 鞗 -> 蠅
9798 -> 4ECF : 鞘 -> 仏
9799 -> 492F : 鞙 -> 䤯
979A -> 8E17 : 鞚 -> 踗
979B -> 516C : 鞛 -> 公
979C -> 6999 : 鞜 -> 榙
979D -> 58DA : 鞝 -> 壚
979E -> 6B2F : 鞞 -> 欯
979F -> 76C6 : 鞟 -> 盆
97A0 -> 975F : 鞠 -> 靟
97A1 -> 7E16 : 鞡 -> 縖
97A2 -> 307A : 鞢 -> ぺ
97A3 -> 367C : 鞣 -> 㙼
97A4 -> 7DA2 : 鞤 -> 綢
97A5 -> 5BCF : 鞥 -> 寏
97A6 -> 8C2A : 鞦 -> 谪
97A7 -> 61C2 : 鞧 -> 懂
97A8 -> 9472 : 鞨 -> 鑲
97A9 -> 8E9D : 鞩 -> 躝
97AA -> E7C8 : 鞪 -> 
97AB -> 6E89 : 鞫 -> 溉
97AC -> 96E7 : 鞬 -> 雧
97AD -> 7302 : 鞭 -> 猂
97AE -> 953A : 鞮 -> 锺
97AF -> 9F3C : 鞯 -> 鼼
97B0 -> 58BD : 鞰 -> 墽
97B1 -> 7779 : 鞱 -> 睹
97B2 -> 5669 : 鞲 -> 噩
97B3 -> 5F2B : 鞳 -> 弫
97B4 -> 53B2 : 鞴 -> 厲
97B5 -> 7628 : 鞵 -> 瘨
97B6 -> 570E : 鞶 -> 圎
97B7 -> 4EC7 : 鞷 -> 仇
97B8 -> 02D9 : 鞸 -> ˙
97B9 -> 58E1 : 鞹 -> 壡
97BA -> 8693 : 鞺 -> 蚓
97BB -> 4D7E : 鞻 -> 䵾
97BC -> 7A67 : 鞼 -> 穧
97BD -> 5C86 : 鞽 -> 岆
97BE -> 4833 : 鞾 -> 䠳
97BF -> 6F3A : 鞿 -> 漺
97C0 -> 9DD4 : 韀 -> 鷔
97C1 -> 4B5A : 韁 -> 䭚
97C2 -> 95C3 : 韂 -> 闃
97C3 -> 7774 : 韃 -> 睴
97C4 -> 8720 : 韄 -> 蜠
97C5 -> 797D : 韅 -> 祽
97C6 -> 94E7 : 韆 -> 铧
97C7 -> 71AD : 韇 -> 熭
97C8 -> 79EC : 韈 -> 秬
97C9 -> 5AA1 : 韉 -> 媡
97CA -> 6FE4 : 韊 -> 濤
97CB -> 48CE : 韋 -> 䣎
97CC -> 8A65 : 韌 -> 詥
97CD -> 9E2D : 韍 -> 鸭
97CE -> 8AF5 : 韎 -> 諵
97CF -> 6510 : 韏 -> 攐
97D0 -> 55AC : 韐 -> 喬
97D1 -> 3A77 : 韑 -> 㩷
97D2 -> 2223 : 韒 -> ∣
97D3 -> 93D6 : 韓 -> 鏖
97D4 -> 9406 : 韔 -> 鐆
97D5 -> 5384 : 韕 -> 厄
97D6 -> 77CF : 韖 -> 矏
97D7 -> 3A21 : 韗 -> 㨡
97D8 -> 6FE8 : 韘 -> 濨
97D9 -> 949B : 韙 -> 钛
97DA -> 358D : 韚 -> 㖍
97DB -> 52BB : 韛 -> 劻
97DC -> 5DF4 : 韜 -> 巴
97DD -> 82DE : 韝 -> 苞
97DE -> 6BEC : 韞 -> 毬
97DF -> 6FB9 : 韟 -> 澹
97E0 -> 4863 : 韠 -> 䡣
97E1 -> 38BC : 韡 -> 㢼
97E2 -> 36BF : 韢 -> 㚿
97E3 -> 6C0D : 韣 -> 氍
97E4 -> 3B13 : 韤 -> 㬓
97E5 -> 75A6 : 韥 -> 疦
97E6 -> 7987 : 韦 -> 禇
97E7 -> 7287 : 韧 -> 犇
97E8 -> 473F : 韨 -> 䜿
97E9 -> 7399 : 韩 -> 玙
97EA -> 8B8E : 韪 -> 讎
97EB -> 3F15 : 韫 -> 㼕
97EC -> FF04 : 韬 -> ＄
97ED -> 8BB0 : 韭 -> 记
97EE -> 3058 : 韮 -> じ
97EF -> 526D : 韯 -> 剭
97F0 -> 353E : 韰 -> 㔾
97F1 -> 99B1 : 韱 -> 馱
97F2 -> 5900 : 韲 -> 夀
97F3 -> 7308 : 音 -> 猈
97F4 -> E818 : 韴 -> 
97F5 -> 6F71 : 韵 -> 潱
97F6 -> 75C5 : 韶 -> 病
97F7 -> 8B90 : 韷 -> 讐
97F8 -> 3827 : 韸 -> 㠧
97F9 -> 942C : 韹 -> 鐬
97FA -> 5F5A : 韺 -> 彚
97FB -> 79D8 : 韻 -> 秘
97FC -> 3E7B : 韼 -> 㹻
97FD -> 405E : 韽 -> 䁞
97FE -> 5295 : 韾 -> 劕
97FF -> 4F2B : 響 -> 伫
9800 -> 69D2 : 頀 -> 槒
9801 -> 72D7 : 頁 -> 狗
9802 -> 58E3 : 頂 -> 壣
9803 -> 9F16 : 頃 -> 鼖
9804 -> 5891 : 頄 -> 墑
9805 -> 3886 : 項 -> 㢆
9806 -> 6F3B : 順 -> 漻
9807 -> 8BF0 : 頇 -> 诰
9808 -> 9DCA : 須 -> 鷊
9809 -> 5319 : 頉 -> 匙
980A -> 85D7 : 頊 -> 藗
980B -> 78DF : 頋 -> 磟
980C -> 34E1 : 頌 -> 㓡
980D -> 43FE : 頍 -> 䏾
980E -> 438D : 頎 -> 䎍
980F -> 5508 : 頏 -> 唈
9810 -> 7C8C : 預 -> 粌
9811 -> 9F2B : 頑 -> 鼫
9812 -> 5992 : 頒 -> 妒
9813 -> 407C : 頓 -> 䁼
9814 -> 85CC : 頔 -> 藌
9815 -> 56C2 : 頕 -> 囂
9816 -> 35CB : 頖 -> 㗋
9817 -> 804A : 頗 -> 聊
9818 -> 7705 : 領 -> 眅
9819 -> 5768 : 頙 -> 坨
981A -> 58BF : 頚 -> 墿
981B -> 7CAF : 頛 -> 粯
981C -> 65A9 : 頜 -> 斩
981D -> 2573 : 頝 -> ╳
981E -> 8FAB : 頞 -> 辫
981F -> 8CC9 : 頟 -> 賉
9820 -> 0058 : 頠 -> X
9821 -> 3A35 : 頡 -> 㨵
9822 -> 6976 : 頢 -> 楶
9823 -> 5B5E : 頣 -> 孞
9824 -> 9E06 : 頤 -> 鸆
9825 -> 6D97 : 頥 -> 涗
9826 -> 9178 : 頦 -> 酸
9827 -> 4A06 : 頧 -> 䨆
9828 -> 96BE : 頨 -> 难
9829 -> 79F2 : 頩 -> 秲
982A -> 9498 : 頪 -> 钘
982B -> 9567 : 頫 -> 镧
982C -> 78E4 : 頬 -> 磤
982D -> 994D : 頭 -> 饍
982E -> 4D14 : 頮 -> 䴔
982F -> 6F30 : 頯 -> 漰
9830 -> 382A : 頰 -> 㠪
9831 -> 4F8B : 頱 -> 例
9832 -> 66E9 : 頲 -> 曩
9833 -> 9EB8 : 頳 -> 麸
9834 -> FF33 : 頴 -> Ｓ
9835 -> 9020 : 頵 -> 造
9836 -> 898F : 頶 -> 規
9837 -> 8B27 : 頷 -> 謧
9838 -> 9DDE : 頸 -> 鷞
9839 -> 6869 : 頹 -> 桩
983A -> 9EB7 : 頺 -> 麷
983B -> 7812 : 頻 -> 砒
983C -> 3F0C : 頼 -> 㼌
983D -> 700A : 頽 -> 瀊
983E -> 6FFB : 頾 -> 濻
983F -> 3C6B : 頿 -> 㱫
9840 -> 8A02 : 顀 -> 訂
9841 -> 692D : 顁 -> 椭
9842 -> 678A : 顂 -> 枊
9843 -> 5EC7 : 顃 -> 廇
9844 -> 4E60 : 顄 -> 习
9845 -> 3E8C : 顅 -> 㺌
9846 -> 7327 : 顆 -> 猧
9847 -> 9C8C : 顇 -> 鲌
9848 -> 5820 : 顈 -> 堠
9849 -> 7BD5 : 顉 -> 篕
984A -> 933A : 顊 -> 錺
984B -> 3D47 : 顋 -> 㵇
984C -> 432E : 題 -> 䌮
984D -> 6272 : 額 -> 扲
984E -> 9895 : 顎 -> 颕
984F -> 72AB : 顏 -> 犫
9850 -> 788A : 顐 -> 碊
9851 -> 6E15 : 顑 -> 渕
9852 -> 6B9B : 顒 -> 殛
9853 -> 838B : 顓 -> 莋
9854 -> 6358 : 顔 -> 捘
9855 -> 705C : 顕 -> 灜
9856 -> 763C : 顖 -> 瘼
9857 -> 38A0 : 顗 -> 㢠
9858 -> 6B03 : 願 -> 欃
9859 -> 5558 : 顙 -> 啘
985A -> 3F18 : 顚 -> 㼘
985B -> 8BAF : 顛 -> 讯
985C -> 4165 : 顜 -> 䅥
985D -> 7401 : 顝 -> 琁
985E -> 8742 : 類 -> 蝂
985F -> 8EA2 : 顟 -> 躢
9860 -> 52E4 : 顠 -> 勤
9861 -> 3B70 : 顡 -> 㭰
9862 -> 7CDF : 顢 -> 糟
9863 -> 4013 : 顣 -> 䀓
9864 -> 83BB : 顤 -> 莻
9865 -> 8168 : 顥 -> 腨
9866 -> 8DC1 : 顦 -> 跁
9867 -> 407D : 顧 -> 䁽
9868 -> 66C2 : 顨 -> 曂
9869 -> 5DA4 : 顩 -> 嶤
986A -> 3071 : 顪 -> ぱ
986B -> 39C2 : 顫 -> 㧂
986C -> 6A0F : 顬 -> 樏
986D -> 85F9 : 顭 -> 藹
986E -> 7267 : 顮 -> 牧
986F -> 39AA : 顯 -> 㦪
9870 -> 53E7 : 顰 -> 叧
9871 -> 7081 : 顱 -> 炁
9872 -> 6DD3 : 顲 -> 淓
9873 -> 8A41 : 顳 -> 詁
9874 -> 5016 : 顴 -> 倖
9875 -> 7C11 : 页 -> 簑
9876 -> 5363 : 顶 -> 卣
9877 -> 932F : 顷 -> 錯
9878 -> 65B1 : 顸 -> 斱
9879 -> 501D : 项 -> 倝
987A -> 6303 : 顺 -> 挃
987B -> 4D8D : 须 -> 䶍
987C -> 8B0E : 顼 -> 謎
987D -> 5B1B : 顽 -> 嬛
987E -> 6691 : 顾 -> 暑
987F -> 6904 : 顿 -> 椄
9880 -> 3D27 : 颀 -> 㴧
9881 -> 382F : 颁 -> 㠯
9882 -> 747D : 颂 -> 瑽
9883 -> 0077 : 颃 -> w
9884 -> 9F4E : 预 -> 齎
9885 -> 9A43 : 颅 -> 驃
9886 -> 9B6D : 领 -> 魭
9887 -> 3AF2 : 颇 -> 㫲
9888 -> 718D : 颈 -> 熍
9889 -> 6C85 : 颉 -> 沅
988A -> 8B49 : 颊 -> 證
988B -> 2509 : 颋 -> ┉
988C -> 596A : 颌 -> 奪
988D -> 6E29 : 颍 -> 温
988E -> 8F81 : 颎 -> 辁
988F -> 51E4 : 颏 -> 凤
9890 -> 57CC : 颐 -> 埌
9891 -> 9236 : 频 -> 鈶
9892 -> 3B62 : 颒 -> 㭢
9893 -> 749B : 颓 -> 璛
9894 -> 5833 : 颔 -> 堳
9895 -> 3521 : 颕 -> 㔡
9896 -> 5A76 : 颖 -> 婶
9897 -> 497B : 颗 -> 䥻
9898 -> 56CA : 题 -> 囊
9899 -> 926C : 颙 -> 鉬
989A -> 3B55 : 颚 -> 㭕
989B -> 524F : 颛 -> 剏
989C -> 3941 : 颜 -> 㥁
989D -> 5322 : 额 -> 匢
989E -> 4AE2 : 颞 -> 䫢
989F -> 7C78 : 颟 -> 籸
98A0 -> 7376 : 颠 -> 獶
98A1 -> 5014 : 颡 -> 倔
98A2 -> 6DA9 : 颢 -> 涩
98A3 -> 692F : 颣 -> 椯
98A4 -> 3C49 : 颤 -> 㱉
98A5 -> 5386 : 颥 -> 历
98A6 -> 8A79 : 颦 -> 詹
98A7 -> 3EF5 : 颧 -> 㻵
98A8 -> 92B6 : 風 -> 銶
98A9 -> 7B4D : 颩 -> 筍
98AA -> 54B4 : 颪 -> 咴
98AB -> 3562 : 颫 -> 㕢
98AC -> 6542 : 颬 -> 敂
98AD -> 9788 : 颭 -> 鞈
98AE -> 7AE7 : 颮 -> 竧
98AF -> 953C : 颯 -> 锼
98B0 -> 782D : 颰 -> 砭
98B1 -> 5445 : 颱 -> 呅
98B2 -> 5E95 : 颲 -> 底
98B3 -> 42CB : 颳 -> 䋋
98B4 -> 6EB1 : 颴 -> 溱
98B5 -> 929E : 颵 -> 銞
98B6 -> 6A3C : 颶 -> 樼
98B7 -> 4A24 : 颷 -> 䨤
98B8 -> 5289 : 颸 -> 劉
98B9 -> 500F : 颹 -> 倏
98BA -> 388E : 颺 -> 㢎
98BB -> 73CE : 颻 -> 珎
98BC -> 962E : 颼 -> 阮
98BD -> 5F3B : 颽 -> 弻
98BE -> 39F7 : 颾 -> 㧷
98BF -> 6DEB : 颿 -> 淫
98C0 -> 8A9C : 飀 -> 誜
98C1 -> 6275 : 飁 -> 扵
98C2 -> 7AD3 : 飂 -> 竓
98C3 -> 7748 : 飃 -> 睈
98C4 -> 7021 : 飄 -> 瀡
98C5 -> 8850 : 飅 -> 衐
98C6 -> 48BF : 飆 -> 䢿
98C7 -> 3DDE : 飇 -> 㷞
98C8 -> 37BE : 飈 -> 㞾
98C9 -> 4A49 : 飉 -> 䩉
98CA -> 5A0C : 飊 -> 娌
98CB -> 69FA : 飋 -> 槺
98CC -> 3ACC : 飌 -> 㫌
98CD -> 2016 : 飍 -> ‖
98CE -> 36A6 : 风 -> 㚦
98CF -> 5BC5 : 飏 -> 寅
98D0 -> 5040 : 飐 -> 偀
98D1 -> 708F : 飑 -> 炏
98D2 -> 51A2 : 飒 -> 冢
98D3 -> 38F6 : 飓 -> 㣶
98D4 -> 5216 : 飔 -> 刖
98D5 -> 7061 : 飕 -> 灡
98D6 -> 591C : 飖 -> 夜
98D7 -> 7EFC : 飗 -> 综
98D8 -> 64C2 : 飘 -> 擂
98D9 -> 4328 : 飙 -> 䌨
98DA -> 43DC : 飚 -> 䏜
98DB -> 8C2F : 飛 -> 谯
98DC -> 5620 : 飜 -> 嘠
98DD -> 6229 : 飝 -> 戩
98DE -> 6A4B : 飞 -> 橋
98DF -> 4039 : 食 -> 䀹
98E0 -> 7AB4 : 飠 -> 窴
98E1 -> 813B : 飡 -> 脻
98E2 -> 7C8E : 飢 -> 粎
98E3 -> 5AB5 : 飣 -> 媵
98E4 -> 6A9F : 飤 -> 檟
98E5 -> 3640 : 飥 -> 㙀
98E6 -> 7DDD : 飦 -> 緝
98E7 -> 4B9B : 飧 -> 䮛
98E8 -> 8FFD : 飨 -> 追
98E9 -> 725B : 飩 -> 牛
98EA -> 480A : 飪 -> 䠊
98EB -> 62CF : 飫 -> 拏
98EC -> 54A8 : 飬 -> 咨
98ED -> 67D4 : 飭 -> 柔
98EE -> 9DCD : 飮 -> 鷍
98EF -> 4C5C : 飯 -> 䱜
98F0 -> 758A : 飰 -> 疊
98F1 -> 5F8F : 飱 -> 徏
98F2 -> 00B2 : 飲 -> ²
98F3 -> 00BC : 飳 -> ¼
98F4 -> 91A3 : 飴 -> 醣
98F5 -> 4202 : 飵 -> 䈂
98F6 -> 5A27 : 飶 -> 娧
98F7 -> 546B : 飷 -> 呫
98F8 -> FE11 : 飸 -> ︑
98F9 -> 9ACB : 飹 -> 髋
98FA -> 8B15 : 飺 -> 謕
98FB -> 9A8A : 飻 -> 骊
98FC -> 6AB1 : 飼 -> 檱
98FD -> 4708 : 飽 -> 䜈
98FE -> 9153 : 飾 -> 酓
98FF -> 96F8 : 飿 -> 雸
9900 -> 9685 : 餀 -> 隅
9901 -> 47CD : 餁 -> 䟍
9902 -> 3FB1 : 餂 -> 㾱
9903 -> 8B65 : 餃 -> 譥
9904 -> 003A : 餄 -> :
9905 -> 9E50 : 餅 -> 鹐
9906 -> 7C8F : 餆 -> 粏
9907 -> 619F : 餇 -> 憟
9908 -> FE4F : 餈 -> ﹏
9909 -> 9B8A : 餉 -> 鮊
990A -> 91B4 : 養 -> 醴
990B -> 95B4 : 餋 -> 閴
990C -> 3B6A : 餌 -> 㭪
990D -> 9DE6 : 餍 -> 鷦
990E -> 5EBF : 餎 -> 庿
990F -> 3B07 : 餏 -> 㬇
9910 -> 380B : 餐 -> 㠋
9911 -> 8DF1 : 餑 -> 跱
9912 -> 992D : 餒 -> 餭
9913 -> 78A8 : 餓 -> 碨
9914 -> 0396 : 餔 -> Ζ
9915 -> 8C6A : 餕 -> 豪
9916 -> 8895 : 餖 -> 袕
9917 -> 9876 : 餗 -> 顶
9918 -> 6EC9 : 餘 -> 滉
9919 -> 50E8 : 餙 -> 僨
991A -> 7357 : 餚 -> 獗
991B -> 6AD1 : 餛 -> 櫑
991C -> 49C7 : 餜 -> 䧇
991D -> 659F : 餝 -> 斟
991E -> 710F : 餞 -> 焏
991F -> 677F : 餟 -> 板
9920 -> 8594 : 餠 -> 薔
9921 -> 5656 : 餡 -> 噖
9922 -> 3CFF : 餢 -> 㳿
9923 -> 6FF0 : 餣 -> 濰
9924 -> 5482 : 餤 -> 咂
9925 -> FA11 : 餥 -> 﨑
9926 -> 45FE : 餦 -> 䗾
9927 -> 6068 : 餧 -> 恨
9928 -> 41A0 : 館 -> 䆠
9929 -> 97AB : 餩 -> 鞫
992A -> 90D8 : 餪 -> 郘
992B -> 360E : 餫 -> 㘎
992C -> 54BA : 餬 -> 咺
992D -> 35BA : 餭 -> 㖺
992E -> 6635 : 餮 -> 昵
992F -> 497E : 餯 -> 䥾
9930 -> 8270 : 餰 -> 艰
9931 -> 4D4D : 餱 -> 䵍
9932 -> 4537 : 餲 -> 䔷
9933 -> 5B07 : 餳 -> 嬇
9934 -> 4366 : 餴 -> 䍦
9935 -> 9E3F : 餵 -> 鸿
9936 -> 6A41 : 餶 -> 橁
9937 -> 48DE : 餷 -> 䣞
9938 -> 6F2E : 餸 -> 漮
9939 -> E837 : 餹 -> 
993A -> 94C9 : 餺 -> 铉
993B -> 9EA3 : 餻 -> 麣
993C -> 52E9 : 餼 -> 勩
993D -> 4501 : 餽 -> 䔁
993E -> 52A6 : 餾 -> 劦
993F -> 75E1 : 餿 -> 痡
9940 -> 5958 : 饀 -> 奘
9941 -> FF3F : 饁 -> ＿
9942 -> 34DC : 饂 -> 㓜
9943 -> 6FB0 : 饃 -> 澰
9944 -> 5F19 : 饄 -> 弙
9945 -> 6EC7 : 饅 -> 滇
9946 -> 5806 : 饆 -> 堆
9947 -> 6B4C : 饇 -> 歌
9948 -> 68F9 : 饈 -> 棹
9949 -> 89BA : 饉 -> 覺
994A -> 92EF : 饊 -> 鋯
994B -> 9676 : 饋 -> 陶
994C -> 4BF1 : 饌 -> 䯱
994D -> 7A7A : 饍 -> 空
994E -> 48BC : 饎 -> 䢼
994F -> 477E : 饏 -> 䝾
9950 -> 5E4A : 饐 -> 幊
9951 -> 5660 : 饑 -> 噠
9952 -> 7A9C : 饒 -> 窜
9953 -> 61C0 : 饓 -> 懀
9954 -> 38A7 : 饔 -> 㢧
9955 -> 38E6 : 饕 -> 㣦
9956 -> 4C1F : 饖 -> 䰟
9957 -> 425A : 饗 -> 䉚
9958 -> 6164 : 饘 -> 慤
9959 -> 4EC9 : 饙 -> 仉
995A -> 8133 : 饚 -> 脳
995B -> 665C : 饛 -> 晜
995C -> 351B : 饜 -> 㔛
995D -> 7E46 : 饝 -> 繆
995E -> 7847 : 饞 -> 硇
995F -> 9833 : 饟 -> 頳
9960 -> 4CBF : 饠 -> 䲿
9961 -> 9941 : 饡 -> 饁
9962 -> 92FB : 饢 -> 鋻
9963 -> 810A : 饣 -> 脊
9964 -> 4E10 : 饤 -> 丐
9965 -> 85DE : 饥 -> 藞
9966 -> 4A0F : 饦 -> 䨏
9967 -> 4352 : 饧 -> 䍒
9968 -> 8ED9 : 饨 -> 軙
9969 -> 665A : 饩 -> 晚
996A -> 7CB5 : 饪 -> 粵
996B -> 4EF9 : 饫 -> 仹
996C -> 923F : 饬 -> 鈿
996D -> 00A7 : 饭 -> §
996E -> 9584 : 饮 -> 閄
996F -> 7B8B : 饯 -> 箋
9970 -> 894B : 饰 -> 襋
9971 -> 5FE9 : 饱 -> 忩
9972 -> 448C : 饲 -> 䒌
9973 -> 76AA : 饳 -> 皪
9974 -> 43B3 : 饴 -> 䎳
9975 -> 65BF : 饵 -> 斿
9976 -> 7636 : 饶 -> 瘶
9977 -> 9DCF : 饷 -> 鷏
9978 -> 69F1 : 饸 -> 槱
9979 -> 8070 : 饹 -> 聰
997A -> 4F06 : 饺 -> 伆
997B -> 882C : 饻 -> 蠬
997C -> 581F : 饼 -> 堟
997D -> 8796 : 饽 -> 螖
997E -> 85A2 : 饾 -> 薢
997F -> 48D6 : 饿 -> 䣖
9980 -> 98F9 : 馀 -> 飹
9981 -> 4B41 : 馁 -> 䭁
9982 -> 3620 : 馂 -> 㘠
9983 -> 5749 : 馃 -> 坉
9984 -> 216B : 馄 -> Ⅻ
9985 -> 39CA : 馅 -> 㧊
9986 -> 5AF5 : 馆 -> 嫵
9987 -> 736F : 馇 -> 獯
9988 -> 61A5 : 馈 -> 憥
9989 -> 821B : 馉 -> 舛
998A -> 7889 : 馊 -> 碉
998B -> 7971 : 馋 -> 祱
998C -> 8E98 : 馌 -> 躘
998D -> 3EF9 : 馍 -> 㻹
998E -> 8E7E : 馎 -> 蹾
998F -> 7E35 : 馏 -> 縵
9990 -> 7BD8 : 馐 -> 篘
9991 -> 8F46 : 馑 -> 轆
9992 -> 4124 : 馒 -> 䄤
9993 -> 8389 : 馓 -> 莉
9994 -> 80D5 : 馔 -> 胕
9995 -> 7904 : 馕 -> 礄
9996 -> 98AC : 首 -> 颬
9997 -> 3558 : 馗 -> 㕘
9998 -> 53C4 : 馘 -> 叄
9999 -> 8B46 : 香 -> 譆
999A -> 651A : 馚 -> 攚
999B -> 253C : 馛 -> ┼
999C -> 82A1 : 馜 -> 芡
999D -> 518E : 馝 -> 冎
999E -> 67BF : 馞 -> 枿
999F -> 8B09 : 馟 -> 謉
99A0 -> 9DF8 : 馠 -> 鷸
99A1 -> 3220 : 馡 -> ㈠
99A2 -> 2527 : 馢 -> ┧
99A3 -> 8772 : 馣 -> 蝲
99A4 -> 8050 : 馤 -> 聐
99A5 -> 75F1 : 馥 -> 痱
99A6 -> 7619 : 馦 -> 瘙
99A7 -> 9BC7 : 馧 -> 鯇
99A8 -> 3846 : 馨 -> 㡆
99A9 -> 6015 : 馩 -> 怕
99AA -> 6F4C : 馪 -> 潌
99AB -> 41DD : 馫 -> 䇝
99AC -> 8899 : 馬 -> 袙
99AD -> 655F : 馭 -> 敟
99AE -> 8990 : 馮 -> 覐
99AF -> 7828 : 馯 -> 砨
99B0 -> 5452 : 馰 -> 呒
99B1 -> 4CBE : 馱 -> 䲾
99B2 -> 8721 : 馲 -> 蜡
99B3 -> 90F0 : 馳 -> 郰
99B4 -> 4302 : 馴 -> 䌂
99B5 -> 3707 : 馵 -> 㜇
99B6 -> 5D5B : 馶 -> 嵛
99B7 -> 543F : 馷 -> 吿
99B8 -> 8E6D : 馸 -> 蹭
99B9 -> FE19 : 馹 -> ︙
99BA -> 4F5D : 馺 -> 佝
99BB -> 3AAF : 馻 -> 㪯
99BC -> 434F : 馼 -> 䍏
99BD -> 5ED9 : 馽 -> 廙
99BE -> 5604 : 馾 -> 嘄
99BF -> 6D6C : 馿 -> 浬
99C0 -> 7FE4 : 駀 -> 翤
99C1 -> 6C6D : 駁 -> 汭
99C2 -> 5CC2 : 駂 -> 峂
99C3 -> 5DEC : 駃 -> 巬
99C4 -> 6F88 : 駄 -> 澈
99C5 -> 819B : 駅 -> 膛
99C6 -> 3A82 : 駆 -> 㪂
99C7 -> 41D8 : 駇 -> 䇘
99C8 -> 62CE : 駈 -> 拎
99C9 -> 8D63 : 駉 -> 赣
99CA -> 432C : 駊 -> 䌬
99CB -> 3AD2 : 駋 -> 㫒
99CC -> 5F16 : 駌 -> 弖
99CD -> 855D : 駍 -> 蕝
99CE -> 4C56 : 駎 -> 䱖
99CF -> 5228 : 駏 -> 刨
99D0 -> 7886 : 駐 -> 碆
99D1 -> 73E7 : 駑 -> 珧
99D2 -> 7201 : 駒 -> 爁
99D3 -> 9910 : 駓 -> 餐
99D4 -> 7076 : 駔 -> 灶
99D5 -> 9984 : 駕 -> 馄
99D6 -> 3D29 : 駖 -> 㴩
99D7 -> 9DD7 : 駗 -> 鷗
99D8 -> 8F78 : 駘 -> 轸
99D9 -> 9BB4 : 駙 -> 鮴
99DA -> 364A : 駚 -> 㙊
99DB -> 646E : 駛 -> 摮
99DC -> 561A : 駜 -> 嘚
99DD -> 901C : 駝 -> 逜
99DE -> 6F85 : 駞 -> 澅
99DF -> 3631 : 駟 -> 㘱
99E0 -> 82F6 : 駠 -> 苶
99E1 -> 8BBC : 駡 -> 讼
99E2 -> 94E9 : 駢 -> 铩
99E3 -> 9E96 : 駣 -> 麖
99E4 -> 9A7E : 駤 -> 驾
99E5 -> 9C2C : 駥 -> 鰬
99E6 -> 9612 : 駦 -> 阒
99E7 -> 587E : 駧 -> 塾
99E8 -> 8069 : 駨 -> 聩
99E9 -> 996D : 駩 -> 饭
99EA -> 58A9 : 駪 -> 墩
99EB -> 68E4 : 駫 -> 棤
99EC -> 2544 : 駬 -> ╄
99ED -> 846D : 駭 -> 葭
99EE -> 6FE3 : 駮 -> 濣
99EF -> 782B : 駯 -> 砫
99F0 -> 7BF5 : 駰 -> 篵
99F1 -> 376A : 駱 -> 㝪
99F2 -> 78C2 : 駲 -> 磂
99F3 -> 9459 : 駳 -> 鑙
99F4 -> 2FF9 : 駴 -> ⿹
99F5 -> 462F : 駵 -> 䘯
99F6 -> 912C : 駶 -> 鄬
99F7 -> 85EA : 駷 -> 藪
99F8 -> 97CE : 駸 -> 韎
99F9 -> 95E1 : 駹 -> 闡
99FA -> 65D8 : 駺 -> 旘
99FB -> 9E1A : 駻 -> 鸚
99FC -> 95A5 : 駼 -> 閥
99FD -> 61D9 : 駽 -> 懙
99FE -> 9299 : 駾 -> 銙
99FF -> 90DA : 駿 -> 郚
9A00 -> 722D : 騀 -> 爭
9A01 -> 3FD0 : 騁 -> 㿐
9A02 -> 34E0 : 騂 -> 㓠
9A03 -> 95F3 : 騃 -> 闳
9A04 -> 9E5F : 騄 -> 鹟
9A05 -> 9407 : 騅 -> 鐇
9A06 -> 9AF8 : 騆 -> 髸
9A07 -> 8578 : 騇 -> 蕸
9A08 -> 59DF : 騈 -> 姟
9A09 -> 4022 : 騉 -> 䀢
9A0A -> 5C3E : 騊 -> 尾
9A0B -> 51F8 : 騋 -> 凸
9A0C -> 8C8C : 騌 -> 貌
9A0D -> 849C : 騍 -> 蒜
9A0E -> 3EDE : 騎 -> 㻞
9A0F -> 6447 : 騏 -> 摇
9A10 -> 3643 : 騐 -> 㙃
9A11 -> 8812 : 騑 -> 蠒
9A12 -> 9571 : 騒 -> 镱
9A13 -> 4882 : 験 -> 䢂
9A14 -> 3A0F : 騔 -> 㨏
9A15 -> 7C99 : 騕 -> 粙
9A16 -> 79CE : 騖 -> 秎
9A17 -> 3AAB : 騗 -> 㪫
9A18 -> 364B : 騘 -> 㙋
9A19 -> 6E08 : 騙 -> 済
9A1A -> 4525 : 騚 -> 䔥
9A1B -> 8F1B : 騛 -> 輛
9A1C -> 222A : 騜 -> ∪
9A1D -> 7170 : 騝 -> 煰
9A1E -> 6920 : 騞 -> 椠
9A1F -> 54D1 : 騟 -> 哑
9A20 -> 7B72 : 騠 -> 筲
9A21 -> 7359 : 騡 -> 獙
9A22 -> 7EC2 : 騢 -> 绂
9A23 -> 97DA : 騣 -> 韚
9A24 -> 7C35 : 騤 -> 簵
9A25 -> 38C0 : 騥 -> 㣀
9A26 -> 490C : 騦 -> 䤌
9A27 -> 3696 : 騧 -> 㚖
9A28 -> 8E2C : 騨 -> 踬
9A29 -> 3660 : 騩 -> 㙠
9A2A -> 7472 : 騪 -> 瑲
9A2B -> 66FA : 騫 -> 曺
9A2C -> 8663 : 騬 -> 虣
9A2D -> 8172 : 騭 -> 腲
9A2E -> 68F0 : 騮 -> 棰
9A2F -> FE64 : 騯 -> ﹤
9A30 -> 4354 : 騰 -> 䍔
9A31 -> 8EC1 : 騱 -> 軁
